Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

FID3       FIDUCIAL         2470mil       8050mil       2470mil       8050mil       2470mil       8050mil  T         90.00 FIDUCIAL  
FID2       FIDUCIAL         8510mil       7800mil       8510mil       7800mil       8510mil       7800mil  T         90.00 FIDUCIAL  
FID1       FIDUCIAL         8530mil       3130mil       8530mil       3130mil       8530mil       3130mil  T         90.00 FIDUCIAL  
U28        SO-G8/D5         6770mil       6880mil       6770mil       6880mil       6695mil   6767.796mil  T        360.00 LM4140CCM-4.1
R50.8      0603             2590mil       3100mil       2590mil       3100mil   2623.465mil       3100mil  T        180.00           
R50.7      0603             2560mil       3610mil       2560mil       3610mil   2593.465mil       3610mil  T        180.00           
R50.6      0603             2570mil       4090mil       2570mil       4090mil   2603.465mil       4090mil  T        180.00           
R50.5      0603             2580mil       4590mil       2580mil       4590mil   2613.465mil       4590mil  T        180.00           
R50.4      0603             2580mil       6050mil       2580mil       6050mil       2580mil   6016.535mil  T         90.00           
R50.3      0603             2600mil       6570mil       2600mil       6570mil   2633.465mil       6570mil  T        180.00           
R50.2      0603             2600mil       7080mil       2600mil       7080mil   2633.465mil       7080mil  T        180.00           
R50.1      0603             2600mil       7550mil       2600mil       7550mil   2633.465mil       7550mil  T        180.00           
R49.8      0603             2580mil       3440mil       2580mil       3440mil   2546.535mil       3440mil  T        360.00           
R49.7      0603             2570mil       3920mil       2570mil       3920mil   2536.535mil       3920mil  T        360.00           
R49.6      0603             2560mil       4410mil       2560mil       4410mil   2526.535mil       4410mil  T        360.00           
R49.5      0603             2580mil       4920mil       2580mil       4920mil   2546.535mil       4920mil  T        360.00           
R49.4      0603             2590mil       6420mil       2590mil       6420mil   2556.535mil       6420mil  T        360.00           
R49.3      0603             2580mil       6910mil       2580mil       6910mil   2546.535mil       6910mil  T        360.00           
R49.2      0603             2590mil       7400mil       2590mil       7400mil   2556.535mil       7400mil  T        360.00           
R49.1      0603             2590mil       7890mil       2590mil       7890mil   2556.535mil       7890mil  T        360.00           
C73.8      0805             2450mil       3100mil       2450mil       3100mil   2412.599mil       3100mil  T        360.00 CAPACITOR 
C73.7      0805             2420mil       3610mil       2420mil       3610mil   2382.599mil       3610mil  T        360.00 CAPACITOR 
